species	Fusarium_flagelliforme	Fusarium_fujikuroi	Fusarium_graminearum	Fusarium_mangiferae	Fusarium_musae	Fusarium_oxysporum	Fusarium_poae	Fusarium_sp.	Fusarium_subglutinans	Fusarium_tjaetaba	Fusarium_vanettenii	Fusarium_verticillioides	NI_2020	NI_2021	Inoc_2020	Inoc_2021	NI	Inoc	FER	FER_2020	FER_2021	Fusarium	Fusarium_spp
CML247	0	16757.48	0	0	0	0	0	0	0	0	0	0	2.083709542	3.078678474	2.371011499	3.987782492	2.445826452	3.514578697	2.986595712	2.187532534	3.540613642	2.2977	16757.48
CML258	0	0	0	0	0	0	0	0	0	0	0	0	1.956022198	NA	2.257886843	NA	1.989872673	2.36888937	2.189849986	2.036174594	NA	2.5718	0
CML261	0	0	0	0	0	0	0	0	0	0	0	0	4.466771572	0.449250681	5.71038547	1.078977461	2.647081353	3.65830751	3.162864051	5.141606356	0.726583158	NA	0
CML264	0	0	0	0	0	0	0	0	0	0	0	0	NA	NA	NA	3.078977461	NA	3.3728104	2.52549329	NA	2.409235184	NA	0
CML277	0	0	0	0	0	0	0	0	0	0	0	0	3.339084229	3.708106267	7.597260813	0.896587524	3.247708804	4.730171916	4.000998221	5.490248415	2.354644126	2.9904	0
CML287	0	49153.52	0	0	0	0	0	0	0	0	0	0	2.339084229	NA	1.597260813	NA	2.593637377	1.800075807	2.218655004	1.990248415	NA	NA	49153.52
CML311	0	0	0	0	0	0	0	0	0	0	0	0	0.956022198	-0.180177112	2.257886843	2.170172429	0.643944099	2.298985479	1.472193203	1.536174594	0.912552674	2.7406	0
CML314	0	0	0	0	0	0	0	0	0	0	0	0	2.466771572	5.819822888	2.71038547	5.170172429	4.546453902	4.086443104	4.324729882	2.641606356	5.412552674	3.1989	0
CML321	0	4299.5	0	0	0	0	0	0	0	0	0	12898.5	2.339084229	NA	3.597260813	1.170172429	2.593637377	2.514578697	2.26217832	2.990248415	0.0952047	2.2749	17198
CML322	0	0	0	0	0	0	0	11738.98	0	0	0	5869.49	1.828334854	0.449250681	2.144762186	NA	1.143944099	2.225160557	1.78775984	1.884816653	1.043931133	2.9071	17608.47
CML323	0	0	0	2977.08	0	0	0	0	0	0	0	0	1.956022198	2.819822888	2.257886843	2.170172429	2.643944099	2.298985479	2.472193203	2.036174594	2.412552674	1.9211	2977.08
CML328	0	4955.38	0	0	0	0	0	0	0	0	0	0	NA	NA	NA	4.987782492	NA	5.516539212	4.70176163	NA	4.723265667	2.3946	4955.38
CML331	0	0	0	0	0	0	0	0	0	0	0	0	6.956022198	7.33753406	2.257886843	1.805392555	6.546453902	2.586443104	4.574729882	4.536174594	4.66867461	3.0583	0
CML332	0	0	0	0	0	0	0	0	0	0	0	0	1.828334854	3.33753406	6.144762186	NA	1.945826452	6.225160557	3.630694846	3.884816653	2.986022585	2.7035	0
CML333	0	0	0	0	0	0	0	0	0	0	0	0	1.083709542	2.708106267	2.371011499	4.896587524	1.546453902	4.086443104	2.824729882	1.687532534	3.854644126	2.4752	0
CML341	0	0	0	0	0	0	0	0	0	0	0	0	3.956022198	NA	7.257886843	NA	3.989872673	7.36888937	5.689849986	5.536174594	NA	3.5663	0
CML38	0	0	0	0	0	0	0	0	0	0	0	0	5.339084229	NA	1.597260813	NA	5.593637377	1.800075807	3.718655004	3.490248415	NA	2.1395	0
CML45	0	0	0	0	0	0	0	0	0	0	0	5221.973333	3.083709542	NA	1.371011499	NA	3.191127574	1.512618182	2.366118325	2.187532534	NA	NA	5221.973333
CML52	0	0	0	0	0	0	0	0	0	0	0	0	1.076040567	4.078678474	2.215053235	4.187782492	2.635458752	3.649887016	3.147484613	1.633807322	4.140613642	0.9602	0
CML61	0	4388.44	0	0	0	0	0	0	0	0	0	0	2.211396885	NA	NA	0.987782492	2.392382476	1.516539212	1.824729882	2.821302917	0.723265667	NA	4388.44
CML69	0	0	0	0	0	0	0	0	0	0	0	0	2.321692679	4.86886921	3.420984042	4.351514148	3.587197639	4.145350017	3.869715329	2.848326958	4.602603481	1.8748	0
CML77	0	0	0	0	0	0	0	0	0	0	0	0	2.339084229	7.708106267	7.597260813	NA	4.747708804	7.800075807	6.041987638	4.990248415	7.671992101	3.8685	0
CML91	0	0	0	0	0	0	0	0	0	0	0	0	1.466771572	8.33753406	2.71038547	4.805392555	4.448963705	4.373900729	4.42726656	2.141606356	6.66867461	2.6542	0
CML92	0	0	0	0	0	0	0	0	0	12655.56	0	12655.58	1.828334854	NA	3.144762186	NA	1.788617771	3.225160557	2.513581647	2.384816653	NA	3.1208	25311.14
CMV3	0	0	0	0	0	0	0	0	0	0	0	0	6.828334854	6.449250681	7.144762186	7.078977461	6.643944099	7.298985479	6.972193203	6.884816653	6.726583158	4.3195	0
CO106	0	0	0	0	0	0	0	0	0	0	0	0	5.466771572	4.819822888	4.71038547	7.170172429	5.546453902	6.086443104	5.824729882	5.141606356	5.912552674	4.3595	0
CO125	0	0	0	0	0	0	0	0	0	0	0	0	7.083709542	NA	7.371011499	2.896587524	7.191127574	5.586443104	5.870088873	7.187532534	3.037296151	4.249	0
CO255	0	0	0	0	0	0	0	0	0	0	0	6687.2	7.083709542	NA	7.371011499	NA	7.191127574	7.512618182	7.366118325	7.187532534	NA	4.1662	6687.2
D940Y	0	0	0	0	0	0	0	0	0	0	0	0	7.083709542	NA	7.371011499	NA	7.191127574	7.512618182	7.366118325	7.187532534	NA	2.9653	0
DE_2	0	0	0	0	0	0	0	0	0	0	0	0	7.083709542	7.708106267	5.371011499	6.896587524	7.046453902	6.586443104	6.824729882	6.187532534	7.354644126	3.1637	0
DE1	0	0	0	0	0	0	0	0	0	0	0	0	6.339084229	NA	7.597260813	NA	6.593637377	7.800075807	7.218655004	6.990248415	NA	3.4223	0
DE811	0	0	0	0	0	0	0	0	0	0	0	0	7.466771572	3.708106267	7.71038547	NA	5.348336254	7.94380462	6.492833198	7.641606356	3.671992101	3.1635	0
